0:0:0,x,y,z
0:2:16.77,4140.62,4392.19,14734.38
0:2:16.99,5398.44,1514.06,10535.94
0:2:17.21,-3562.5,-5465.62,943.75
0:2:17.42,-2723.44,1985.94,-18951.56
0:2:17.64,-1276.56,-2035.94,-8478.12
0:2:17.90,4429.69,7568.75,14509.38
0:2:18.10,3256.25,-939.06,11485.94
0:2:18.32,-4348.44,-9917.191,2070.31
0:2:18.54,-1231.25,2357.81,-19926.56
0:2:18.76,-1971.88,-3314.06,-3067.19
0:2:18.97,4298.44,8389.06,10062.5
0:2:19.19,3382.81,-229.69,11582.81
0:2:19.40,642.19,2254.69,-1507.81
0:2:19.61,-6996.88,-9359.38,-19956.25
0:2:19.84,-1754.69,-5685.94,-6337.5
0:2:20.5,4740.62,8095.31,14204.69
0:2:20.26,1156.25,-5306.25,11665.62
0:2:20.47,-2628.12,-5281.25,81.25
0:2:20.68,-5909.379,-8890.62,-18443.75
0:2:20.90,-2392.19,-5710.94,-4171.88
0:2:21.12,3696.88,8198.441,14576.56
0:2:21.40,2039.06,492.19,-856.25
0:2:21.61,-2764.06,-5210.94,-1610.94
0:2:21.82,-8073.44,-9485.941,-16021.88
0:2:22.4,810.94,2687.5,-7375.0
0:2:22.25,4257.81,5181.25,16156.25
0:2:22.46,2629.69,312.5,3895.31
0:2:22.69,-2210.94,-1826.56,-407.81
0:2:22.90,-7318.75,-6929.69,-23545.31
0:2:23.12,-1326.56,-634.38,-1543.75
0:2:23.34,6168.75,9373.441,13423.44
0:2:23.56,2481.25,-662.5,6154.69
0:2:23.77,-1596.88,-2809.38,-2103.12
0:2:24.0,-6987.5,-5964.06,-20610.94
0:2:24.21,-1181.25,437.5,-1637.5
0:2:24.43,6121.88,8175.0,14060.94
0:2:24.64,3470.31,7235.94,4704.69
0:2:24.92,-3285.94,-2587.5,-12106.25
0:2:25.13,-6657.81,-6685.94,-16064.06
0:2:25.35,2442.19,5490.62,-57.81
0:2:25.59,9176.559,6375.0,23445.31
0:2:25.81,846.88,-165.62,1450.0
0:2:26.3,-1007.81,2420.31,-10528.12
0:2:26.23,-8201.56,-6789.06,-10610.94
0:2:26.46,129.69,2545.31,2525.0
0:2:26.67,8270.309,7018.75,18906.25
0:2:26.90,2182.81,5556.25,146.88
0:2:27.13,-4171.88,-2478.12,-8257.81
0:2:27.35,-8801.559,-7654.69,-9375.0
0:2:27.57,1418.75,4700.0,-2184.38
0:2:27.79,7145.31,8443.75,23031.25
0:2:28.2,2131.25,2693.75,412.5
0:2:28.23,-1757.81,-3214.06,-15004.69
0:2:28.51,-1839.06,-2620.31,-11900.0
0:2:28.74,3085.94,6159.379,15362.5
0:2:28.95,3965.62,-1071.88,15068.75
0:2:29.18,678.12,-278.12,2601.56
0:2:29.40,-5275.0,-7014.06,-20532.81
0:2:29.62,-735.94,-714.06,-10243.75
0:2:29.85,4604.69,6985.94,17250.0
0:2:30.8,-325.0,-7442.19,6573.44
0:2:30.30,-279.69,-1120.31,551.56
0:2:30.53,-6625.0,-7860.94,-18951.56
0:2:30.75,-667.19,-2517.19,-2012.5
0:2:30.98,4178.12,7064.06,14704.69
0:2:31.25,1776.56,4284.38,-3889.06
0:2:31.45,-3143.75,-6610.94,-1765.62
0:2:31.65,-7146.88,-7503.12,-17657.81
0:2:31.86,-121.88,270.31,-1389.06
0:2:32.12,4928.12,8035.94,12896.88
0:2:32.32,-2457.81,-6271.88,1412.5
0:2:32.52,-1426.56,-3312.5,-2160.94
0:2:32.73,-6528.12,-8768.75,-11896.88
0:2:32.94,-656.25,-720.31,-5060.94
0:2:33.14,4018.75,7773.44,11459.38
0:2:33.35,3540.62,73.44,7442.19
0:2:33.56,-1704.69,-2181.25,3998.44
0:2:33.76,-2245.31,-3073.44,-17582.81
0:2:33.97,-2868.75,-4089.06,-5848.44
0:2:34.17,3551.56,6651.56,8507.81
0:2:34.38,6814.06,2967.19,14860.94
0:2:34.58,742.19,678.12,-307.81
0:2:34.79,2268.75,7046.88,-10331.25
0:2:34.99,-10781.25,-10490.62,-8946.879
0:2:35.21,-84.38,2810.94,1589.06
0:2:35.47,6853.12,5668.75,14056.25
0:2:35.67,842.19,89.06,171.88
0:2:35.88,1176.56,3943.75,-11109.38
0:2:36.9,-9093.75,-7500.0,-7159.379
0:2:36.29,226.56,2259.38,1396.88
0:2:36.50,5782.81,9181.251,15885.94
0:2:36.71,645.31,1792.19,2206.25
0:2:36.92,-1098.44,600.0,-6092.19
0:2:37.12,-8400.001,-11398.44,-14310.94
0:2:37.33,-864.06,801.56,-2820.31
0:2:37.55,4529.69,7660.94,16303.12
0:2:37.76,2420.31,1662.5,-707.81
0:2:37.97,-1407.81,-3434.38,4478.12
0:2:38.18,-8096.88,-8892.191,-20543.75
0:2:38.40,873.44,-810.94,-5354.69
0:2:38.61,4378.12,9273.44,16525.0
0:2:38.87,14.06,65.62,-3651.56
0:2:39.7,-35.94,-2040.62,-2621.88
0:2:39.29,-8215.62,-10237.5,-11001.56
0:2:39.49,132.81,1975.0,-4282.81
0:2:39.70,4626.56,9862.5,15910.94
0:2:39.91,1695.31,-1229.69,2571.88
0:2:40.11,-326.56,-4459.38,1960.94
0:2:40.33,-6548.44,-9471.88,-17275.0
0:2:40.54,-1946.88,-4710.94,-4610.94
