0:0:54.43,147.34,99.34,-4.58
0:0:58.20,0.25,-0.02,0.25
0:1:0.67,131.3,10.91,-512.19
0:1:0.87,-14.2,12.75,-66.22
0:1:0.97,13.64,18.14,-95.7
0:1:1.25,54.58,2.28,38.67
0:1:1.45,399.45,85.48,-58.94
0:1:1.65,8.38,49.27,153.19
0:1:1.75,80.80001,122.0,-83.11
0:1:2.13,-306.23,-89.81,81.47
0:1:2.53,101.42,-160.8,198.53
0:1:2.82,-80.61,6.94,82.53
0:1:3.20,64.19,69.95,-151.06
0:1:4.74,-76.56,135.09,-55.64
0:1:5.3,-124.98,42.02,-211.5
0:1:5.12,163.41,-53.42,146.02
0:1:5.42,-293.08,90.98001,-109.03
0:1:5.72,-6.81,28.17,-162.17
0:1:5.91,-24.27,-45.36,73.47
0:1:6.30,-104.08,-92.53,-250.11
0:1:6.78,-683.95,-99.73001,225.5
0:1:7.8,245.41,-71.55,-106.28
0:1:7.56,-104.67,-80.84,178.64
0:1:7.95,86.8,-38.27,-160.64
0:1:8.53,-130.28,-14.95,208.02
0:1:9.1,217.72,-25.08,-175.58
0:1:9.39,-24.91,-4.12,244.22
0:1:9.88,89.61,-18.81,-259.53
0:1:10.38,-170.22,95.66001,271.02
0:1:11.65,-105.78,16.72,-111.08
0:1:12.17,-100.25,26.45,207.5
0:1:12.71,75.7,14.02,-309.91
0:1:13.65,18.23,56.56,-231.45
0:1:14.60,7.0,-37.38,-176.44
0:1:15.54,134.58,-51.77,-205.56
0:1:16.8,-153.36,-12.61,110.67
0:1:16.50,81.66,-31.36,-200.89
0:1:17.3,-184.33,-17.09,114.69
0:1:17.45,127.73,-17.03,-173.72
0:1:17.98,-157.59,-33.94,137.48
0:1:18.40,89.78,-17.84,-175.38
0:1:18.83,-126.55,80.75,309.3
0:1:19.36,80.19,-21.11,-209.11
0:1:19.78,-213.11,8.8,290.53
0:1:20.31,-91.11,-45.27,-289.25
0:1:20.42,108.09,-26.44,308.78
0:1:20.95,5.44,32.98,-57.92
0:1:21.26,-31.42,-5.47,46.17
0:1:21.59,-237.88,-165.91,-52.67
0:1:22.32,-18.55,-43.64,-173.88
0:1:22.64,251.23,28.77,93.2
0:1:23.91,-80.81,-8.22,106.44
0:1:24.22,87.56,-47.5,-91.03
0:1:24.54,-134.48,98.55,298.47
0:1:24.65,88.41001,-39.11,-50.7
0:1:25.60,182.75,-112.06,-195.38
0:1:25.93,264.94,-135.77,103.16
0:1:26.13,55.52,8.28,-136.31
0:1:26.24,-211.36,142.12,35.03
0:1:26.35,135.91,-208.38,-91.83001
0:1:26.46,-85.88,102.89,83.42
0:1:26.58,124.17,-74.61,-109.42
0:1:26.69,-189.58,127.14,140.06
0:1:26.80,27.62,-112.81,-93.12
0:1:26.91,56.16,8.72,84.22
0:1:27.12,67.02,20.3,-97.88
0:1:27.23,-187.06,101.88,51.11
0:1:27.66,137.72,-150.02,-191.48
0:1:28.9,100.78,144.55,443.83
0:1:28.61,133.05,-73.61,-215.53
0:1:29.35,-189.36,158.31,-238.91
0:1:29.78,75.09,68.58,289.16
0:1:30.10,78.05,-50.16,-339.06
0:1:30.53,-34.64,3.44,289.47
0:1:31.6,78.89,-42.17,-229.95
0:1:31.48,-20.42,102.48,283.52
0:1:32.1,122.5,-29.77,-197.36
0:1:32.43,40.69,91.16,372.05
0:1:33.38,-116.75,36.38,196.12
0:1:33.91,187.23,-2.75,-202.64
0:1:34.33,-45.12,-2.22,370.62
0:1:34.54,-86.34,69.88,-953.23
0:1:34.66,95.41,-44.19,973.2
0:1:35.18,-5.94,14.16,22.77
0:1:35.29,24.5,-21.45,-28.45
0:1:35.51,-40.05,-2.97,19.7
0:1:35.62,27.78,-43.2,-17.38
0:1:35.73,-25.48,42.98,36.7
0:1:35.84,-44.27,4.38,-51.41
0:1:35.95,-79.08,22.42,87.41
0:1:36.27,126.98,28.0,-189.22
0:1:37.11,-240.95,30.69,184.11
0:1:37.54,220.05,-16.7,-274.02
0:1:37.97,-265.88,121.16,374.36
0:1:38.39,140.53,-117.53,-250.73
0:1:38.92,-387.56,252.83,114.03
0:1:39.34,126.36,5.2,-290.25
0:1:39.77,-80.92,118.86,391.34
0:1:40.29,159.52,0.0,-294.81
0:1:40.82,-234.73,45.45,225.91
0:1:41.25,136.53,84.7,-320.67
0:1:41.77,-201.27,127.88,164.62
0:1:41.89,73.45,-149.05,-710.6699
0:1:42.10,77.42,139.61,828.52
0:1:42.31,88.48001,-110.73,46.5
0:1:42.42,-59.86,0.3,35.89
0:1:42.65,-34.33,49.8,-46.92
0:1:43.38,-135.19,18.83,-63.62
0:1:43.49,5.55,-113.08,65.48
0:1:44.75,-297.23,175.58,144.27
0:1:46.11,187.88,-101.69,-239.41
0:1:46.54,-39.45,98.59,354.45
0:1:47.8,113.88,-73.55,-165.56
0:1:47.49,-69.14,114.86,381.86
0:1:48.44,-229.36,46.36,107.33
0:1:48.87,257.33,-30.08,-196.69
0:1:49.29,-230.28,152.3,354.02
0:1:49.81,176.45,-38.39,-278.58
0:1:50.24,-149.97,173.12,190.75
0:1:50.67,197.83,-109.0,-265.42
0:1:51.61,231.55,-121.53,-311.09
0:1:52.4,-257.28,158.25,254.77
0:1:52.49,128.86,-13.14,-304.77
0:1:52.93,-174.88,31.09,255.48
0:1:53.34,195.28,-37.14,-293.95
